iter	Passed	Remaining
401	10019	63358
402	10058	63418
403	10059	63247
404	10096	63298
405	10122	63276
406	10159	63330
407	10161	63163
408	10166	63009
409	10167	62842
410	10169	62674
411	10171	62511
412	10213	62594
413	10255	62673
414	10283	62667
415	10285	62505
416	10287	62341
417	10289	62178
418	10299	62069
419	10338	62131
420	10340	61970
421	10374	61999
422	10418	62092
423	10421	61936
424	10422	61776
425	10455	61800
426	10480	61777
427	10501	61730
428	10503	61573
429	10556	61718
430	10558	61561
431	10608	61688
432	10658	61812
433	10663	61672
434	10703	61736
435	10728	61713
436	10766	61763
437	10781	61686
438	10816	61720
439	10862	61818
440	10913	61940
441	10939	61922
442	10950	61820
443	10980	61824
444	10997	61759
445	11044	61857
446	11047	61711
447	11087	61774
448	11148	61948
449	11205	62100
450	11248	62177
451	11263	62099
452	11279	62022
453	11282	61879
454	11294	61783
455	11335	61845
456	11336	61696
457	11380	61773
458	11391	61674
459	11394	61528
460	11395	61379
461	11435	61433
462	11472	61473
463	11474	61330
464	11476	61184
465	11529	61308
466	11564	61337
467	11566	61192
468	11571	61066
469	11573	60922
470	11594	60878
471	11637	60947
472	11639	60806
473	11648	60700
474	11682	60726
475	11703	60681
476	11705	60541
477	11727	60501
478	11746	60450
479	11748	60309
480	11753	60184
481	11794	60242
482	11806	60157
483	11816	60060
484	11868	60174
485	11912	60247
486	11914	60110
487	11958	60185
488	11960	60049
489	11966	59928
490	12002	59966
491	12047	60043
492	12071	60013
493	12122	60121
494	12127	59999
495	12136	59900
496	12148	59813
497	12186	59854
498	12238	59965
499	12240	59832
500	12243	59700
501	12287	59773
502	12327	59821
503	12365	59864
504	12411	59942
505	12447	59975
506	12449	59842
507	12495	59917
508	12503	59813
509	12530	59804
510	12558	59795
511	12560	59664
512	12595	59685
513	12629	59707
514	12631	59575
515	12659	59566
516	12706	59650
517	12741	59672
518	12743	59542
519	12745	59411
520	12771	59398
521	12786	59328
522	12789	59201
523	12825	59231
524	12836	59146
525	12839	59020
526	12872	59039
527	12909	59072
528	12942	59084
529	12953	59000
530	12955	58874
531	12995	58917
532	13039	58981
533	13040	58854
534	13078	58890
535	13118	58935
536	13120	58810
537	13169	58896
538	13199	58894
539	13239	58942
540	13269	58940
541	13271	58816
542	13314	58872
543	13354	58916
544	13422	59085
545	13446	59057
546	13456	58968
547	13508	59062
548	13547	59101
549	13557	59012
550	13622	59164
551	13637	59095
552	13669	59102
553	13671	58978
554	13681	58891
555	13718	58920
556	13720	58798
557	13753	58809
558	13755	58687
559	13773	58637
560	13813	58677
561	13816	58558
562	13818	58438
563	13851	58450
564	13853	58331
565	13855	58211
566	13887	58218
567	13889	58099
568	13925	58125
569	13965	58166
570	13967	58048
571	13969	57929
572	14013	57984
573	14051	58018
574	14053	57900
575	14057	57790
576	14080	57761
577	14115	57779
578	14127	57705
579	14153	57686
580	14192	57720
581	14201	57635
582	14203	57519
583	14230	57507
584	14264	57520
585	14266	57405
586	14307	57451
587	14322	57388
588	14325	57278
589	14328	57166
590	14365	57193
591	14408	57243
592	14473	57379
593	14482	57296
594	14515	57305
595	14549	57319
596	14551	57206
597	14595	57257
598	14633	57288
599	14671	57315
600	14673	57205
601	14681	57117
602	14706	57092
603	14737	57096
